Status_des_Girokontos,Dauer_in_Monaten,Kreditgeschichte,Kreditverwendungszweck,Kreditbetrag,Sparkonto_Wertpapiere,Beschäftigt_seit,Ratenhöhe,Familienstand_Geschlecht,Weitere_Bürgen_Schuldner,Wohnsitzdauer,Vermögen,Alter,Andere_Ratenverpflichtungen,Wohnsituation,Anzahl_bestehender_Kredite,Beruf,Unterhaltspflichtige_Personen,Telefon,Ausländischer_Arbeiter,Ziel
0 <= ... < 200 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,2930,... < 100 DM,4 <= ... < 7 Jahre,2,weiblich : geschieden/getrennt/verheiratet,keine,1,Immobilie,27,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Ausbildung,1927,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,3,weiblich : geschieden/getrennt/verheiratet,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",33,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,36,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),2820,... < 100 DM,... < 1 Jahr,4,männlich : geschieden/getrennt,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",27,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Umschulung,937,... < 100 DM,... < 1 Jahr,4,männlich : verheiratet/witwer,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",27,Keine,Eigentum,2,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,18,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),1056,... < 100 DM,.. >= 7 Jahre,3,männlich : ledig,Bürge,3,Immobilie,30,Bank,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),3124,... < 100 DM,... < 1 Jahr,1,männlich : ledig,keine,3,Immobilie,49,Bank,Eigentum,2,ungelernt - ansässig,2,kein Telefon,ja,guter Kredit
kein Girokonto,9,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,1388,... < 100 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,2,Immobilie,26,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Reparaturen,2384,... < 100 DM,... < 1 Jahr,4,männlich : ledig,keine,1,unbekannt/kein Eigentum,33,Keine,Miete,1,ungelernt - ansässig,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),2133,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,4,unbekannt/kein Eigentum,52,Keine,kostenlos,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,2039,... < 100 DM,1 <= ... < 4 Jahre,1,weiblich : geschieden/getrennt/verheiratet,keine,4,Immobilie,20,Bank,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
... < 0 DM,9,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),2799,... < 100 DM,1 <= ... < 4 Jahre,2,männlich : ledig,keine,2,Immobilie,36,Keine,Miete,2,gelernt - Angestellter/Beamter,2,kein Telefon,ja,guter Kredit
... < 0 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,1289,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : ledig,Bürge,1,wenn nicht A121: Bausparvertrag/Lebensversicherung,21,Keine,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
... < 0 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Haushaltsgeräte,1217,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : verheiratet/witwer,keine,3,Immobilie,47,Keine,Eigentum,1,ungelernt - ansässig,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
... < 0 DM,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,2246,... < 100 DM,.. >= 7 Jahre,3,männlich : ledig,keine,3,wenn nicht A121: Bausparvertrag/Lebensversicherung,60,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
... < 0 DM,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,385,... < 100 DM,4 <= ... < 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,3,Immobilie,58,Keine,Eigentum,4,ungelernt - ansässig,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,24,Verzögerungen bei der Rückzahlung in der Vergangenheit,Auto (neu),1965,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",42,Keine,Miete,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,21,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Geschäft,1572,.. >= 1000 DM,.. >= 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,4,Immobilie,36,Bank,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),2718,... < 100 DM,1 <= ... < 4 Jahre,3,weiblich : geschieden/getrennt/verheiratet,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,20,Keine,Miete,1,ungelernt - ansässig,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
... < 0 DM,24,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Sonstiges,1358,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : ledig,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",40,Läden,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
0 <= ... < 200 DM,6,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Auto (neu),931,100 <= ... < 500 DM,... < 1 Jahr,1,weiblich : geschieden/getrennt/verheiratet,keine,1,wenn nicht A121: Bausparvertrag/Lebensversicherung,32,Läden,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,schlechter Kredit
... < 0 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1442,... < 100 DM,4 <= ... < 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",23,Keine,Miete,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,24,keine Kredite aufgenommen / alle Kredite wurden ordnungsgemäß zurückgezahlt,Geschäft,4241,... < 100 DM,1 <= ... < 4 Jahre,1,männlich : ledig,keine,4,Immobilie,36,Keine,Eigentum,3,ungelernt - ansässig,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,18,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),2775,... < 100 DM,4 <= ... < 7 Jahre,2,männlich : ledig,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,31,Bank,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,24,Verzögerungen bei der Rückzahlung in der Vergangenheit,Geschäft,3863,... < 100 DM,1 <= ... < 4 Jahre,1,männlich : ledig,keine,2,unbekannt/kein Eigentum,32,Keine,kostenlos,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,7,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,2329,... < 100 DM,... < 1 Jahr,1,weiblich : geschieden/getrennt/verheiratet,Bürge,1,Immobilie,45,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,9,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,918,... < 100 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,1,wenn nicht A121: Bausparvertrag/Lebensversicherung,30,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,24,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Ausbildung,1837,... < 100 DM,4 <= ... < 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,4,unbekannt/kein Eigentum,34,Bank,kostenlos,1,ungelernt - ansässig,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,3349,... < 100 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",28,Keine,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,10,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,1275,... < 100 DM,... < 1 Jahr,4,weiblich : geschieden/getrennt/verheiratet,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,23,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,24,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,2828,500 <= ... < 1000 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,4,Immobilie,22,Läden,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Geschäft,4526,... < 100 DM,1 <= ... < 4 Jahre,3,männlich : ledig,keine,2,Immobilie,74,Keine,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,2671,100 <= ... < 500 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,Mit-Antragsteller,4,unbekannt/kein Eigentum,50,Keine,kostenlos,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,2051,... < 100 DM,... < 1 Jahr,4,männlich : ledig,keine,1,Immobilie,33,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,15,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),1300,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : ledig,keine,4,unbekannt/kein Eigentum,45,Bank,kostenlos,1,gelernt - Angestellter/Beamter,2,kein Telefon,ja,guter Kredit
... < 0 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Haushaltsgeräte,741,100 <= ... < 500 DM,arbeitslos,4,weiblich : geschieden/getrennt/verheiratet,keine,3,wenn nicht A121: Bausparvertrag/Lebensversicherung,22,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,10,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1240,100 <= ... < 500 DM,.. >= 7 Jahre,1,weiblich : geschieden/getrennt/verheiratet,keine,4,unbekannt/kein Eigentum,48,Keine,kostenlos,1,ungelernt - ansässig,2,kein Telefon,ja,schlechter Kredit
... < 0 DM,21,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,3357,.. >= 1000 DM,... < 1 Jahr,4,weiblich : geschieden/getrennt/verheiratet,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",29,Bank,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,24,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Auto (gebraucht),3632,... < 100 DM,1 <= ... < 4 Jahre,1,weiblich : geschieden/getrennt/verheiratet,Bürge,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",22,Bank,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,nein,guter Kredit
kein Girokonto,18,Verzögerungen bei der Rückzahlung in der Vergangenheit,Möbel/Ausstattung,1808,... < 100 DM,4 <= ... < 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,1,Immobilie,22,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,48,keine Kredite aufgenommen / alle Kredite wurden ordnungsgemäß zurückgezahlt,Geschäft,12204,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,2,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",48,Bank,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,60,Verzögerungen bei der Rückzahlung in der Vergangenheit,Radio/TV,9157,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,2,männlich : ledig,keine,2,unbekannt/kein Eigentum,27,Keine,kostenlos,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,6,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),3676,... < 100 DM,1 <= ... < 4 Jahre,1,männlich : ledig,keine,3,Immobilie,37,Keine,Miete,3,gelernt - Angestellter/Beamter,2,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,30,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,3441,100 <= ... < 500 DM,1 <= ... < 4 Jahre,2,weiblich : geschieden/getrennt/verheiratet,Mit-Antragsteller,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",21,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),640,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : geschieden/getrennt,keine,2,Immobilie,49,Keine,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,21,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Geschäft,3652,... < 100 DM,4 <= ... < 7 Jahre,2,männlich : ledig,keine,3,wenn nicht A121: Bausparvertrag/Lebensversicherung,27,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,18,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),1530,... < 100 DM,1 <= ... < 4 Jahre,3,männlich : ledig,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,32,Bank,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,48,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Geschäft,3914,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,4,männlich : geschieden/getrennt,keine,2,Immobilie,38,Bank,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
... < 0 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,1858,... < 100 DM,... < 1 Jahr,4,weiblich : geschieden/getrennt/verheiratet,keine,1,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",22,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,2600,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,4,unbekannt/kein Eigentum,65,Keine,kostenlos,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,15,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1979,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",35,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,6,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,2116,... < 100 DM,1 <= ... < 4 Jahre,2,männlich : ledig,keine,2,Immobilie,41,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,9,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Auto (neu),1437,100 <= ... < 500 DM,4 <= ... < 7 Jahre,2,männlich : ledig,keine,3,unbekannt/kein Eigentum,29,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,42,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,4042,500 <= ... < 1000 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,4,Immobilie,36,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,9,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Ausbildung,3832,unbekannt/kein Sparkonto,.. >= 7 Jahre,1,männlich : ledig,keine,4,Immobilie,64,Keine,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
... < 0 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,3660,... < 100 DM,1 <= ... < 4 Jahre,2,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",28,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,18,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,1553,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",44,Bank,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,15,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1444,unbekannt/kein Sparkonto,... < 1 Jahr,4,männlich : ledig,keine,1,wenn nicht A121: Bausparvertrag/Lebensversicherung,23,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,9,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,1980,... < 100 DM,... < 1 Jahr,2,weiblich : geschieden/getrennt/verheiratet,Mit-Antragsteller,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",19,Keine,Miete,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1355,... < 100 DM,... < 1 Jahr,3,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",25,Keine,Eigentum,1,ungelernt - ansässig,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Ausbildung,1393,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,47,Bank,Eigentum,3,gelernt - Angestellter/Beamter,2,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1376,500 <= ... < 1000 DM,4 <= ... < 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,1,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",28,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,60,Verzögerungen bei der Rückzahlung in der Vergangenheit,Radio/TV,15653,... < 100 DM,4 <= ... < 7 Jahre,2,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",21,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1493,... < 100 DM,... < 1 Jahr,4,weiblich : geschieden/getrennt/verheiratet,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",34,Keine,Eigentum,1,gelernt - Angestellter/Beamter,2,kein Telefon,ja,guter Kredit
... < 0 DM,42,Verzögerungen bei der Rückzahlung in der Vergangenheit,Radio/TV,4370,... < 100 DM,4 <= ... < 7 Jahre,3,männlich : ledig,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,26,Bank,Eigentum,2,gelernt - Angestellter/Beamter,2,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
... < 0 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Ausbildung,750,... < 100 DM,arbeitslos,4,weiblich : geschieden/getrennt/verheiratet,keine,1,Immobilie,27,Keine,Eigentum,1,arbeitslos/ungelernt - nicht ansässig,1,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,15,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Reparaturen,1308,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",38,Keine,Eigentum,2,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
kein Girokonto,15,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Ausbildung,4623,100 <= ... < 500 DM,1 <= ... < 4 Jahre,3,männlich : ledig,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,40,Keine,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,1851,... < 100 DM,4 <= ... < 7 Jahre,4,männlich : verheiratet/witwer,Bürge,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",33,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
